surface_id,quote_id,symbol,expiry_years,strike,is_call,bid,ask,quote_ts_ns
clean_smile_v1,clean_0p5_80,VFOPT,0.5,80,1,22.587802646976876,22.687802646976877,950000000
clean_smile_v1,clean_0p5_90,VFOPT,0.5,90,1,13.806845996542403,13.906845996542405,950000000
clean_smile_v1,clean_0p5_100,VFOPT,0.5,100,1,6.8387285776806195,6.938728577680619,950000000
clean_smile_v1,clean_0p5_110,VFOPT,0.5,110,1,3.1155349048555796,3.2155349048555792,950000000
clean_smile_v1,clean_0p5_120,VFOPT,0.5,120,1,1.7003909575544567,1.8003909575544568,950000000
clean_smile_v1,clean_1p0_80,VFOPT,1.0,80,1,25.97025227810634,26.07025227810634,950000000
clean_smile_v1,clean_1p0_90,VFOPT,1.0,90,1,17.791146850828387,17.891146850828388,950000000
clean_smile_v1,clean_1p0_100,VFOPT,1.0,100,1,11.152811191960406,11.252811191960408,950000000
clean_smile_v1,clean_1p0_110,VFOPT,1.0,110,1,7.180413736164041,7.280413736164041,950000000
clean_smile_v1,clean_1p0_120,VFOPT,1.0,120,1,4.975413481792622,5.075413481792622,950000000
clean_smile_v1,put_0p5_80,VFOPT,0.5,80,0,0.6125956092434731,0.7125956092434732,950000000
clean_smile_v1,put_0p5_90,VFOPT,0.5,90,0,1.5847380790923302,1.6847380790923303,950000000
clean_smile_v1,put_0p5_100,VFOPT,0.5,100,0,4.369719780513879,4.469719780513879,950000000
clean_smile_v1,put_0p5_110,VFOPT,0.5,110,0,10.399625227972157,10.499625227972158,950000000
clean_smile_v1,put_0p5_120,VFOPT,0.5,120,0,18.73758040095436,18.837580400954362,950000000
clean_smile_v1,put_1p0_80,VFOPT,1.0,80,0,2.068606238163461,2.1686062381634605,950000000
clean_smile_v1,put_1p0_90,VFOPT,1.0,90,0,3.4017950558926335,3.501795055892633,950000000
clean_smile_v1,put_1p0_100,VFOPT,1.0,100,0,6.275753642031796,6.375753642031795,950000000
clean_smile_v1,put_1p0_110,VFOPT,1.0,110,0,11.815650431242583,11.915650431242584,950000000
clean_smile_v1,put_1p0_120,VFOPT,1.0,120,0,19.1229444218783,19.222944421878303,950000000
clean_smile_v1,reject_crossed,VFOPT,0.5,100,1,7.10,7.00,950000000
clean_smile_v1,reject_stale,VFOPT,0.5,100,1,6.80,6.90,700000000
clean_smile_v1,reject_non_positive,VFOPT,0.5,100,1,0.0,1.0,950000000
clean_smile_v1,reject_uninvertible,VFOPT,0.5,80,1,0.40,0.60,950000000
clean_smile_v1,reject_future,VFOPT,0.5,100,1,6.80,6.90,1200000000
clean_smile_v1,reject_bad_strike,VFOPT,0.5,0,1,6.80,6.90,950000000
clean_smile_v1,reject_bad_expiry,VFOPT,0,100,1,6.80,6.90,950000000
clean_smile_v1,reject_nan_bid,VFOPT,0.5,100,1,NaN,6.90,950000000
clean_smile_v1,reject_bad_numeric,VFOPT,not_a_number,100,1,6.80,6.90,950000000
too,few,fields
corrupt_smile_v1,corrupt_0p5_80,VFOPT,0.5,80,1,22.58,22.68,950000000
corrupt_smile_v1,corrupt_0p5_90,VFOPT,0.5,90,1,13.80,13.90,950000000
corrupt_smile_v1,corrupt_0p5_100,VFOPT,0.5,100,1,14.95,15.05,950000000
corrupt_smile_v1,corrupt_0p5_110,VFOPT,0.5,110,1,3.10,3.20,950000000
corrupt_smile_v1,corrupt_0p5_120,VFOPT,0.5,120,1,1.70,1.80,950000000
corrupt_put_smile_v1,corrupt_put_0p5_80,VFOPT,0.5,80,0,0.45,0.55,950000000
corrupt_put_smile_v1,corrupt_put_0p5_90,VFOPT,0.5,90,0,0.95,1.05,950000000
corrupt_put_smile_v1,corrupt_put_0p5_100,VFOPT,0.5,100,0,14.95,15.05,950000000
corrupt_put_smile_v1,corrupt_put_0p5_110,VFOPT,0.5,110,0,11.95,12.05,950000000
corrupt_put_smile_v1,corrupt_put_0p5_120,VFOPT,0.5,120,0,9.95,10.05,950000000
