surface_id,quote_id,symbol,expiry_years,strike,is_call,bid,ask,quote_ts_ns
clean_smile_v1,clean_0p5_80,VFOPT,0.5,80,1,22.587802646976876,22.687802646976877,950000000
clean_smile_v1,clean_0p5_90,VFOPT,0.5,90,1,13.806845996542403,13.906845996542405,950000000
clean_smile_v1,clean_0p5_100,VFOPT,0.5,100,1,6.8387285776806195,6.938728577680619,950000000
clean_smile_v1,clean_0p5_110,VFOPT,0.5,110,1,3.1155349048555796,3.2155349048555792,950000000
clean_smile_v1,clean_0p5_120,VFOPT,0.5,120,1,1.7003909575544567,1.8003909575544568,950000000
clean_smile_v1,clean_1p0_80,VFOPT,1.0,80,1,25.97025227810634,26.07025227810634,950000000
clean_smile_v1,clean_1p0_90,VFOPT,1.0,90,1,17.791146850828387,17.891146850828388,950000000
clean_smile_v1,clean_1p0_100,VFOPT,1.0,100,1,11.152811191960406,11.252811191960408,950000000
clean_smile_v1,clean_1p0_110,VFOPT,1.0,110,1,7.180413736164041,7.280413736164041,950000000
clean_smile_v1,clean_1p0_120,VFOPT,1.0,120,1,4.975413481792622,5.075413481792622,950000000
clean_smile_v1,reject_crossed,VFOPT,0.5,100,1,7.10,7.00,950000000
clean_smile_v1,reject_stale,VFOPT,0.5,100,1,6.80,6.90,700000000
clean_smile_v1,reject_non_positive,VFOPT,0.5,100,1,0.0,1.0,950000000
clean_smile_v1,reject_uninvertible,VFOPT,0.5,80,1,0.40,0.60,950000000
corrupt_smile_v1,corrupt_0p5_80,VFOPT,0.5,80,1,22.58,22.68,950000000
corrupt_smile_v1,corrupt_0p5_90,VFOPT,0.5,90,1,13.80,13.90,950000000
corrupt_smile_v1,corrupt_0p5_100,VFOPT,0.5,100,1,14.95,15.05,950000000
corrupt_smile_v1,corrupt_0p5_110,VFOPT,0.5,110,1,3.10,3.20,950000000
corrupt_smile_v1,corrupt_0p5_120,VFOPT,0.5,120,1,1.70,1.80,950000000
